u_c_hihi_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 15511911,16256005,16027190,16543010,15826456,15760186,15726693,15993993,15912908,16232159,16123535,16271540,15549448,16394307,16089780,16616678,15724964,15545409,15738976,16118267,16439519,15942615,15729711,16154466,16054993,16962657,15288737,15374882,15514072,16611044,16655833,16014038,15622948,15770719,15723149,15970309,16213567,16244308,15247734,15764248,15495610,15729434,16466379,15613716,15469817,16197906,15552137,15981741,16564705,15987092
u_c_hilo_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 199717,202257,202887,204799,207192,199886,201385,205207,204620,203467,204431,204393,200656,200394,203001,208096,202620,201210,203054,205505,201200,204269,199385,203859,203463,207816,206838,202403,204125,204008,202668,200921,203478,205323,204481,215639,203508,203661,201507,209515,202844,203136,215509,202627,208491,203968,204882,205293,204645,203697
u_c_lohi_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 536092,529883,521146,539658,496031,540611,555272,543060,560249,551273,499690,553000,535259,521563,526970,522153,546788,517156,544865,517150,529054,504040,530797,511373,523460,523417,528820,520779,542074,540902,553145,525318,505736,543772,513673,531240,554483,518195,541356,512935,548662,539536,517055,526047,511003,533022,501978,515548,540490,527321
u_c_lolo_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 6757,6921,7003,6804,6901,7044,6899,7220,6811,7071,6995,7034,6915,6852,6977,6836,6854,6860,7002,6954,7012,7081,6872,6867,6873,6849,6828,6878,6828,6710,6893,7033,6927,6858,7037,6966,6894,6874,7013,6917,6731,6774,6867,6811,6993,6819,6816,6837,6933,6877
u_i_hihi_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 16601130,15826369,17255808,16122582,16538025,17000718,16406657,16562443,16702997,16793584,16550001,16363679,17600216,16776606,16794732,16870569,16655671,16289609,15533550,17627881,17628199,16751487,16321504,17338703,16602031,15874662,16323999,16625695,17060596,17422172,16253332,17213336,17466592,15531488,17188049,16574926,16642418,16027467,16796398,17593277,16210893,16605783,16124236,16506672,16742305,16627783,17190091,15842194,16163838,17018501
u_i_hilo_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 209821,209722,208396,218475,220186,213189,220705,203105,210236,219835,204132,204074,207175,217337,226052,210957,206108,216449,207201,216671,212939,213485,205122,210714,204633,218904,207751,199022,203819,193266,208226,196217,206600,209721,210108,207542,213710,214540,210662,208238,217899,221744,207871,215756,211302,201901,213962,206155,208912,211227
u_i_lohi_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 530346,525222,548801,528545,550374,517670,520340,519455,531832,551979,534136,557254,550516,547731,540282,533882,530597,529090,533534,547602,546939,558800,548600,549824,538744,559308,509889,563972,518899,558835,517361,537195,552729,531135,555168,530546,519263,553568,569610,526452,531887,543290,529006,533729,558625,566071,538235,548581,542813,541147
u_i_lolo_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 6947,7315,6995,6671,6946,7171,6949,7053,6763,7313,6899,6769,7207,6955,7213,7032,7002,6929,7034,6980,6916,7081,7380,7064,7114,6656,7619,7095,6933,6810,7263,6907,7155,7120,7251,7178,7232,7202,6882,6984,6850,6981,7162,6901,6860,7032,6847,7111,7441,6986
u_s_hihi_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 15781024,15804767,16182160,15447738,16846475,16140789,14973659,16159067,15799179,15137169,14962031,14722935,15338727,15319537,16076068,15986611,15984236,16405297,15237617,15927909,16025101,15886573,15613821,16568802,16284550,16381170,15424595,16223518,15537218,15650957,16042933,15767616,15678424,16087241,15378131,15865636,14984037,15288776,15665018,15473197,15022087,16188351,16301438,16206635,16072356,15038991,15535711,15372924,15610235,16458161
u_s_hilo_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 214573,196433,205195,208164,198764,203592,204474,196560,199506,204905,196280,200729,209956,202263,197202,206291,209642,203407,204282,196734,204085,210195,201682,199546,201918,196569,204659,206406,203400,202751,201134,200581,202489,211825,203907,214688,201374,193533,206608,204832,203535,204591,205795,207456,199727,206080,204108,200641,198577,202880
u_s_lohi_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 468311,492541,486146,494864,489037,472594,482914,482175,489340,466320,465283,483254,489673,443845,494901,481520,467766,472944,487436,472118,500300,496023,489075,475210,446240,497879,502604,511083,481887,479024,460265,474728,462146,486253,473167,463996,486188,513821,465720,482230,487890,493504,450156,491753,459453,492551,471363,487080,515228,493314
u_s_lolo_512_16: MakeSpans for 50 iterations, MAX_ISTEPS 100000, pc=1.0, pm=0.009765625, popsize=512: 7382,7357,7402,7561,7145,7092,7270,7363,7150,7232,7289,7474,7350,7451,7688,7447,7467,7298,7447,7457,7424,7515,7482,7271,7300,7506,7269,7729,7332,7213,7376,7298,7441,7109,7490,7387,7173,7191,7608,7573,7446,7308,7242,7292,7428,7381,7371,7380,7378,7444
