Alg A	Alg B				P Value
1	2	-158.8948	-78.2200	2.4548	0.0658
1	3	-71.6348	9.0400	89.7148	1.0000
1	4	-69.6948	10.9800	91.6548	1.0000
1	5	-131.8348	-51.1600	29.5148	0.5666
1	6	-139.0148	-58.3400	22.3348	0.3776
1	7	-126.5548	-45.8800	34.7948	0.7061
1	8	-156.5148	-75.8400	4.8348	0.0849
1	9	-81.5948	-0.9200	79.7548	1.0000
2	3	6.5852	87.2600	167.9348	0.0226
2	4	8.5252	89.2000	169.8748	0.0176
2	5	-53.6148	27.0600	107.7348	0.9820
2	6	-60.7948	19.8800	100.5548	0.9978
2	7	-48.3348	32.3400	113.0148	0.9469
2	8	-78.2948	2.3800	83.0548	1.0000
2	9	-3.3748	77.3000	157.9748	0.0727
3	4	-78.7348	1.9400	82.6148	1.0000
3	5	-140.8748	-60.2000	20.4748	0.3331
3	6	-148.0548	-67.3800	13.2948	0.1904
3	7	-135.5948	-54.9200	25.7548	0.4652
3	8	-165.5548	-84.8800	-4.2052	0.0304
3	9	-90.6348	-9.9600	70.7148	1.0000
4	5	-142.8148	-62.1400	18.5348	0.2898
4	6	-149.9948	-69.3200	11.3548	0.1604
4	7	-137.5348	-56.8600	23.8148	0.4147
4	8	-167.4948	-86.8200	-6.1452	0.0239
4	9	-92.5748	-11.9000	68.7748	1.0000
5	6	-87.8548	-7.1800	73.4948	1.0000
5	7	-75.3948	5.2800	85.9548	1.0000
5	8	-105.3548	-24.6800	55.9948	0.9901
5	9	-30.4348	50.2400	130.9148	0.5916
6	7	-68.2148	12.4600	93.1348	0.9999
6	8	-98.1748	-17.5000	63.1748	0.9991
6	9	-23.2548	57.4200	138.0948	0.4005
7	8	-110.6348	-29.9600	50.7148	0.9661
7	9	-35.7148	44.9600	125.6348	0.7289
8	9	-5.7548	74.9200	155.5948	0.0934
